TransactionID,isFraud,TransactionAmt,TransactionDT,HourOfDay,DayOfWeek,DeviceRisk,ProductCD,card4,card6,fraud_probability,risk_tier
2987203,1,445.0,89760,0,1,0,W,visa,credit,0.812508,Critical Risk
2987240,1,37.098,90193,1,1,0,C,visa,credit,0.751004,Critical Risk
2987243,1,37.098,90246,1,1,0,C,visa,credit,0.751004,Critical Risk
2987245,1,37.098,90295,1,1,0,C,visa,credit,0.751004,Critical Risk
2987288,1,155.521,90986,1,1,0,C,visa,credit,0.786330,Critical Risk
2987367,1,225.0,92350,1,1,0,R,mastercard,credit,0.795513,Critical Risk
2987405,1,90.57,92999,1,1,0,C,mastercard,credit,0.772928,Critical Risk
2987630,1,12.326,97843,3,1,0,C,mastercard,debit,0.724743,Suspicious
2987683,1,124.344,99584,3,1,0,C,mastercard,debit,0.780777,Critical Risk
2987736,1,100.0,100591,3,1,0,W,visa,credit,0.775378,Critical Risk
2987779,1,10.0,102154,4,1,0,S,mastercard,debit,0.719947,Suspicious
2987780,1,10.0,102188,4,1,0,S,mastercard,debit,0.719947,Suspicious
2987781,1,10.0,102193,4,1,0,S,mastercard,debit,0.719947,Suspicious
2987869,1,83.38,106603,5,1,0,C,visa,credit,0.690883,Suspicious
2987923,1,774.0,108912,6,1,0,W,mastercard,debit,0.746322,Suspicious
2988062,1,90.872,115800,8,1,0,C,visa,credit,0.693010,Suspicious
2988064,1,90.872,116130,8,1,0,C,visa,credit,0.693010,Suspicious
2988069,1,90.872,116296,8,1,0,C,visa,credit,0.693010,Suspicious
2988081,1,2161.0,117398,8,1,0,W,visa,debit,0.760000,Critical Risk
2988097,1,159.0,119184,9,1,0,W,visa,debit,0.706879,Suspicious
2988169,1,80.0,125042,10,1,0,W,visa,credit,0.689861,Suspicious
2988173,1,97.0,125295,10,1,0,W,visa,credit,0.694624,Suspicious
2988186,1,80.0,126297,11,1,0,W,visa,debit,0.689861,Suspicious
2988195,1,80.0,126638,11,1,0,W,visa,debit,0.689861,Suspicious
2988235,1,40.0,128602,11,1,0,W,mastercard,debit,0.672839,Suspicious
2988250,1,226.0,129171,11,1,0,W,visa,debit,0.715624,Suspicious
2988261,1,160.5,129512,11,1,0,W,visa,debit,0.707113,Suspicious
2988269,1,226.0,129710,12,1,0,W,mastercard,debit,0.715624,Suspicious
2988274,1,280.0,129834,12,1,0,W,visa,debit,0.720959,Suspicious
2988282,1,117.0,130050,12,1,0,W,visa,debit,0.699267,Suspicious
2988355,1,35.0,131866,12,1,0,W,mastercard,debit,0.669588,Suspicious
2988612,1,80.0,136448,13,1,0,W,visa,debit,0.689861,Suspicious
2988643,1,110.0,136950,14,1,0,W,visa,debit,0.697738,Suspicious
2988680,1,80.0,137550,14,1,0,W,visa,debit,0.689861,Suspicious
2988694,1,240.0,137754,14,1,0,W,mastercard,credit,0.717120,Suspicious
2988702,1,450.0,137879,14,1,0,H,visa,credit,0.732787,Suspicious
2988704,1,15.0,137916,14,1,0,W,visa,debit,0.649315,Suspicious
2988706,1,450.0,137934,14,1,0,H,visa,credit,0.732787,Suspicious
2988732,1,136.99,138293,14,1,0,W,visa,debit,0.703180,Suspicious
2988966,1,900.0,141106,15,1,0,W,visa,debit,0.750088,Critical Risk
2988992,1,994.0,141351,15,1,0,W,visa,debit,0.752569,Critical Risk
2989000,1,40.24,141458,15,1,0,C,visa,credit,0.672985,Suspicious
2989007,1,59.0,141482,15,1,0,W,mastercard,debit,0.682359,Suspicious
2989041,1,100.0,141896,15,1,0,W,mastercard,debit,0.695378,Suspicious
2989059,1,100.0,142107,15,1,0,W,visa,credit,0.695378,Suspicious
2989080,1,117.0,142370,15,1,0,W,visa,credit,0.699267,Suspicious
2989116,1,250.0,142819,15,1,0,R,mastercard,debit,0.718136,Suspicious
2989302,1,146.0,144759,16,1,0,W,mastercard,debit,0.704761,Suspicious
2989357,1,226.0,145327,16,1,0,W,mastercard,debit,0.715624,Suspicious
2989367,1,117.0,145405,16,1,0,W,mastercard,debit,0.699267,Suspicious
2989424,1,428.73,146014,16,1,0,W,visa,credit,0.731579,Suspicious
2989469,1,75.0,146351,16,1,0,W,visa,debit,0.688268,Suspicious
2989544,1,632.0,147095,16,1,0,W,mastercard,debit,0.741262,Suspicious
2989569,1,49.0,147348,16,1,0,W,mastercard,debit,0.677801,Suspicious
2989598,1,100.0,147621,17,1,0,S,discover,credit,0.695378,Suspicious
2989635,1,30.029,148007,17,1,0,C,visa,credit,0.665873,Suspicious
2989829,1,65.0,149944,17,1,0,W,visa,debit,0.684741,Suspicious
2989940,1,335.0,150907,17,1,0,W,visa,debit,0.725428,Suspicious
2989969,1,335.0,151154,17,1,0,W,visa,debit,0.725428,Suspicious
2990015,1,51.357,151597,18,1,0,C,visa,debit,0.678952,Suspicious
2990136,1,225.0,152743,18,1,0,R,visa,credit,0.715513,Suspicious
2990196,1,225.0,153263,18,1,0,R,american express,credit,0.715513,Suspicious
2990200,1,225.0,153305,18,1,0,R,american express,credit,0.715513,Suspicious
2990277,1,100.0,153996,18,1,0,W,visa,credit,0.695378,Suspicious
2990444,1,117.0,155506,19,1,0,W,visa,credit,0.699267,Suspicious
2990559,1,69.785,156717,19,1,0,C,visa,credit,0.686491,Suspicious
2990583,1,117.0,156975,19,1,0,W,mastercard,debit,0.699267,Suspicious
2990644,1,14.26,157520,19,1,0,C,mastercard,credit,0.648131,Suspicious
2990669,1,14.26,157735,19,1,0,C,mastercard,credit,0.648131,Suspicious
2990698,1,10.0,157997,19,1,0,S,mastercard,debit,0.639947,Suspicious
2990704,1,10.0,158071,19,1,0,S,mastercard,debit,0.639947,Suspicious
2990706,1,10.0,158108,19,1,0,S,mastercard,debit,0.639947,Suspicious
2990858,1,58.004,159829,20,1,0,C,mastercard,credit,0.681940,Suspicious
2990864,1,58.004,159876,20,1,0,C,mastercard,credit,0.681940,Suspicious
